company,booth,official_description,likely_segment,tabmac_relevance,outreach_priority,why_contact,suggested_pitch_angle
Meru Health,KIOSK 10,,Specialty/unclear exhibitor,Limited hospitality fit: kiosk presence suggests smaller onsite footprint; keep outreach lightweight.,Low,Limited official description makes hospitality need harder to infer.,Send a light-touch restaurant guide and invite them to request help for team meals or client dinners.
MindBill,KIOSK 12,"MindBill is the AI front desk for psychiatric practices. It answers every patient call 24/7, verifies insurance live on the call, books straight into your EHR, and files TMS & Spravato prior auths overnight — then chases claim status, denials, and appeals so revenue doesn't slip. HIPAA-compliant.",Neuromodulation/medical device,Moderate hospitality fit: neuromodulation/medical device exhibitor may need casual team meals or small-group restaurant help.,Medium,"Device companies often host demos, clinician meetings, distributor conversations, and booth-team meals.",Lead with private rooms and nearby restaurants suitable for product-demo follow-ups and clinician dinners.
MindMetrix,1737,"Built for busy mental health providers, MindMetrix is an adaptive online assessment that deepens clinical understanding, opens dialogue with patients, and distills findings into a chart-ready, actionable report.",Clinical assessment/digital therapeutics,Moderate hospitality fit: clinical assessment/digital therapeutics exhibitor may need casual team meals or small-group restaurant help.,Medium,"Assessment and digital-care vendors are likely to schedule small buyer, partner, or clinical advisor meetings.",Offer small-group dinner recommendations and fast booking help for buyer follow-ups around Moscone.
Mindpath Health,339,"Mindpath Health is a leading, independent provider of outpatient mental health care services. We provide psychiatry, therapy, and interventional psychiatry services to patients of all ages and backgrounds. We are looking for clinicians who are inspired to improve the lives of patients and shape the future of mental health. By partnering together, we want to provide truly collaborative care that supports local communities.",Behavioral health treatment network,"Strong hospitality fit: behavioral health treatment network exhibitor likely to have onsite team, prospect, recruiting, or partner meals.",High,"Treatment networks and provider groups can use APA for referral, partnership, recruiting, and team meetings.","Offer referral-partner dinners, leadership meals, and polished but practical restaurant recommendations for clinical teams."
Monroe & Weisbrod,239,"Monroe & Weisbrod is the nation’s leading psychiatry-specific recruitment firm, proudly specializing in both locum tenens and permanent placements. For over a decade, we’ve connected behavioral health organizations with mission-driven psychiatrists and psychiatric nurse practitioners, helping expand access to quality mental health care across the country. Our focus is exclusively on psychiatry, and our team is uniquely equipped to understand the nuances of the field—from clinical settings and subspecialties to the credentialing and licensing landscape. We work with hospitals, community health centers, correctional facilities, and telehealth providers to deliver staffing solutions that are fast, thoughtful, and long-lasting. Whether you're a provider exploring new opportunities or a behavioral health organization in need of top-tier talent, Monroe & Weisbrod is here to support your mission and make every placement count.",Government/public-sector recruiting,Limited hospitality fit: government/public-sector recruiting exhibitor is less likely to buy restaurant or event support.,Low,"Public-sector booths may have purchasing constraints, but onsite staff still need practical meal guidance.",Use a low-pressure nearby dining guide for staff and candidate conversations rather than a premium event pitch.
Mood Health,2039,,Specialty/unclear exhibitor,Limited hospitality fit: specialty/unclear exhibitor exhibitor is less likely to buy restaurant or event support.,Low,Limited official description makes hospitality need harder to infer.,Send a light-touch restaurant guide and invite them to request help for team meals or client dinners.
Nano Net Technologies Inc. (dba Nanonets Health),1957,"Nanonets Health builds AI agents that automate end-to-end behavioral-health RCM operations. More than 100 behavioral-health systems use Nanonets agents to manage intake & verification, scheduling, prior auth & reimbursement workflows. With native integrations across 60+ EHRs, the platform deploys within weeks and scales across multi-site environments. Behavioral health clinics typically gain 15-20% higher revenue and lower admin FTE costs by 70-80% within the first three months of using Nanonets Health - contractually guaranteed. Our agents use best-in-class RAG AI, Voice AI & browser based automation to act like a FTE - at a third of the cost & 10x the efficiency.",Healthtech/EHR/practice software,Moderate hospitality fit: healthtech/ehr/practice software exhibitor may need casual team meals or small-group restaurant help.,Medium,"Software vendors run demos and buyer meetings and often need quick, reliable places for prospects and booth teams.","Pitch Tabmac as an event-week dining desk for demo teams, prospect dinners, and last-minute group reservations."
"Neurocare Group America, Inc.",1931,"neurocare delivers advanced, personalized neuromodulation through Apollo TMS, part of our best‑practice platform trusted by clinicians worldwide. Apollo TMS is an FDA‑cleared solution designed to integrate seamlessly into psychiatric practices, supporting evidence‑based treatment for major depressive disorder, OCD, and adolescent patients. Built on precision, personalization, and workflow efficiency, Apollo TMS allows clinicians to activate neuroplasticity—the brain’s natural ability to adapt—through targeted, non‑invasive stimulation. The system supports individualized protocols and objective measurement, helping providers deliver consistent, high‑quality care. As part of the broader neurocare group ecosystem, clinicians gain access to integrated tools, training, and digital solutions that enhance outcomes and operational excellence. In addition to TMS, neurocare offers complementary digital therapeutics and teletherapy options to support continuity of care and sustainable practice growth.",Neuromodulation/medical device,Moderate hospitality fit: neuromodulation/medical device exhibitor may need casual team meals or small-group restaurant help.,Medium,"Device companies often host demos, clinician meetings, distributor conversations, and booth-team meals.",Lead with private rooms and nearby restaurants suitable for product-demo follow-ups and clinician dinners.
"Neurocrine Biosciences, Inc.",1538,"Neurocrine Biosciences is a leading biopharmaceutical company with a simple purpose: to relieve suffering for people with great needs. We are dedicated to discovering and developing life-changing treatments for patients with under-addressed neurological, psychiatric, endocrine and immunological disorders. The company's diverse portfolio includes FDA-approved treatments for tardive dyskinesia, chorea associated with Huntington's disease, classic congenital adrenal hyperplasia, endometriosis* and uterine fibroids,* as well as a robust pipeline including multiple compounds in mid- to late-phase clinical development across our core therapeutic areas. For three decades, we have applied our unique insight into neuroscience and the interconnections between brain and body systems to treat complex conditions. We relentlessly pursue medicines to ease the burden of debilitating diseases and disorders because you deserve brave science. For more information, visit neurocrine.com, and follow the company on LinkedIn, X, Facebook and YouTube. (*in collaboration with AbbVie)",Pharma/biotech,"Strong hospitality fit: pharma/biotech exhibitor likely to have onsite team, prospect, recruiting, or partner meals.",High,"Commercial or medical-affairs exhibitors often bring field teams and meet clinicians, KOLs, or partners during the meeting.","Position Tabmac as a compliant restaurant concierge for HCP/KOL dinners, medical-affairs team meals, and private dining near Moscone."
NeuroStar,1335,"NeuroStar Advanced Therapy for Mental Health is a non-drug, noninvasive treatment for people suffering from neurohealth conditions when traditional medication hasn’t helped. NeuroStar is FDA-cleared for adults with major depressive disorder (MDD), as an adjunct for adults with obsessive-compulsive disorder (OCD), and to decrease anxiety systems in adult patients with MDD that may exhibit comorbid anxiety systems (anxious depression).",Neuromodulation/medical device,"Strong hospitality fit: neuromodulation/medical device exhibitor likely to have onsite team, prospect, recruiting, or partner meals.",High,"Device companies often host demos, clinician meetings, distributor conversations, and booth-team meals.",Lead with private rooms and nearby restaurants suitable for product-demo follow-ups and clinician dinners.
Neurotek,864,"Neurotek is a leader in the field of attentional profiling & analytics. Our flagship product MOXO is the industry’s leading fully online and cloud-based, validated Continuous Performance Test (CPT). MOXO is an advanced ADHD diagnosis and profiling solution, empowering clinicians and professionals worldwide. Our clinically-trusted continuous performance test is backed by over 100 research projects and peer-reviewed publications, with over 1,000,000 assessments conducted worldwide. Our MOXO cloud-based digital assessment provides both accurate diagnostic support and a scientific assessment of human attention. Used by numerous institutes and clinics worldwide, MOXO Diagnosis provides an objective and detailed assessment for the screening and diagnostic support of attention difficulties and deficits. MOXO Profiler is the industry’s first general population attention profiler, designed to encompass the entire attention spectrum. Learn more - www.moxo.ai",Healthtech/EHR/practice software,Moderate hospitality fit: healthtech/ehr/practice software exhibitor may need casual team meals or small-group restaurant help.,Medium,"Software vendors run demos and buyer meetings and often need quick, reliable places for prospects and booth teams.","Pitch Tabmac as an event-week dining desk for demo teams, prospect dinners, and last-minute group reservations."
New U Therapy Center,2138,,Behavioral health treatment network,Moderate hospitality fit: behavioral health treatment network exhibitor may need casual team meals or small-group restaurant help.,Medium,"Treatment networks and provider groups can use APA for referral, partnership, recruiting, and team meetings.","Offer referral-partner dinners, leadership meals, and polished but practical restaurant recommendations for clinical teams."
NIBBOT INTERNATIONAL,2037,"NIBBOT is a human performance technology company that built the first closed-loop, real-time neuromodulation training platform for voluntary nervous system control. The problem we solve: 43% of high-performing adults report chronic stress, poor focus, and burnout. Current solutions are passive: meditation apps, wearables that only track, or pharmaceuticals with side effects. There is no scalable way to train the nervous system to shift states on demand. Our technology: We combined two moats into one platform: 1. Proprietary hardware: Non-invasive wearable with medical-grade biosignal acquisition + real-time neuromodulation, designed for consumer use 2. Perzonalization: Algorithms that read state, adapt stimulation, and guide the user to learn voluntary control in <10 sessions Traction & proof: 1. Validation: IRB-approved studies showing statistically significant improvements in sustained attention and HRV after 8 sessions 2. Regulatory path: Built as wellness-first with a clear roadmap to Class II clearance. Zero FDA claims to date = clean cap table, no warning letters 3. Go-to-market: Launching at APA 2026. Early B2B pipeline with executive health clinics, elite sports, and defense contractors Why now: Three tailwinds converge: 1. Wearables fatigue: Users want action, not more data. WHOOP/Apple track. We train. 2. Mental health crisis: Employers will pay $500-$2k/year per employee for tools that move the needle on stress/burnout 3. Bioelectric medicine: DARPA, NIH, and Meta are investing billions. We’re the first consumer-native platform in the space The vision: Apple owns the wrist. We own the state. NIBBOT becomes the operating system for human state control.",Neuromodulation/medical device,Moderate hospitality fit: neuromodulation/medical device exhibitor may need casual team meals or small-group restaurant help.,Medium,"Device companies often host demos, clinician meetings, distributor conversations, and booth-team meals.",Lead with private rooms and nearby restaurants suitable for product-demo follow-ups and clinician dinners.
NoBackOffice,2030,"Open & own your psychiatry practice without ever needing to hire attorneys, office managers, or staff. APA 2026 exclusive deal: For 50 practitioners, we setup your practice for you (business formation, business website, insurance credentialing, patient sourcing) and equip you with our all-in-one EHR that handles scheduling, charting, and insurance billing.",Healthtech/EHR/practice software,Moderate hospitality fit: healthtech/ehr/practice software exhibitor may need casual team meals or small-group restaurant help.,Medium,"Software vendors run demos and buyer meetings and often need quick, reliable places for prospects and booth teams.","Pitch Tabmac as an event-week dining desk for demo teams, prospect dinners, and last-minute group reservations."
Northeast Georgia Health System,538,"Northeast Georgia Health System, an 1100+ bed not-for-profit community health system with campuses located in Gainesville, Braselton, Winder, Habersham & Dahlonega, GA – just north of Atlanta. NGHS provides a wide array of healthcare services including Laurelwood a 54 bed Inpatient Psychiatry facility. A service area of 19 counties. Over 1.5 million lives.",Association/nonprofit,Moderate hospitality fit: association/nonprofit exhibitor may need casual team meals or small-group restaurant help.,Medium,"Associations may host member, board, volunteer, or small partner gatherings but budgets are often tighter.","Share budget-conscious restaurant options for member meetups, staff meals, or small board dinners."
Northern Health Authority,446,"Find your place in British Columbia, with supportive and welcoming communities, collaborative and innovative practice environments, and competitive compensation. Whether you are interested in rural, mid-sized or urban life, you will find rewarding and dynamic career opportunities in B.C.",Specialty/unclear exhibitor,Moderate hospitality fit: specialty/unclear exhibitor exhibitor may need casual team meals or small-group restaurant help.,Medium,Limited official description makes hospitality need harder to infer.,Send a light-touch restaurant guide and invite them to request help for team meals or client dinners.
Northwell Health,539,"Northwell Health is New York State’s largest health care provider and private employer with 21 hospitals, 850 outpatient facilities and more than 12,000 affiliated physicians. We care for over two million people annually in the New York metro area and beyond, thanks to philanthropic support from our communities. Our 79,000 employees are working to change health care for the better. Are you Made for this?",Health system/provider network,"Strong hospitality fit: health system/provider network exhibitor likely to have onsite team, prospect, recruiting, or partner meals.",High,"Large care organizations commonly bring recruiting, leadership, and clinical teams to specialty meetings.","Pitch curated team dinners, physician recruiting meals, and easy group reservations close to Moscone hotels."
NZDr,1331,"New Zealand Doctor recruitment is an NZ owned and operated specialist medical recruitment agency. They are a preferred supplier to Te Whatu Ora Health New Zealand, NZ's public health service, and recruit Hospital Specialists and Family Physicians across the country. They provide a tailored vacancy search, guidance through Medical Council registration, and manage the immigration process through their own inhouse licensed immigration advisor.",Healthcare staffing/recruiting,"Strong hospitality fit: healthcare staffing/recruiting exhibitor likely to have onsite team, prospect, recruiting, or partner meals.",High,Recruiting firms use APA for candidate and client conversations.,"Offer private dining and near-Moscone options for recruiter-candidate dinners, client meals, and consultant team gatherings."
OmegaBrite Bioscience,1341,"OmegaBrite is a science-driven company dedicated to advancing brain and body health through high-purity omega-3 and CBD formulations. Founded by Harvard-trained psychiatrist Dr. Carol Locke, OmegaBrite 70/10 MD is supported by over 14 clinical studies and 25 years of clinical use. Visit our booth to learn about Lysoveta, a groundbreaking innovation in targeted omega-3 brain delivery via the MFSD2A receptor.",Wellness/coaching,Moderate hospitality fit: wellness/coaching exhibitor may need casual team meals or small-group restaurant help.,Medium,"Wellness and coaching exhibitors may host informal client or community meals, usually at smaller scale.",Suggest relaxed nearby restaurants for small client gatherings and team meals.
Optum,1736,"We’re redefining behavioral health care by providing unparalleled support to our team members, so they can concentrate on what they do best: care for patients. At Optum, you’ll find the freedom and resources to excel in your career, support people in their mental health journeys and lead a balanced life. Find your perfect role delivering care at a mental health clinic, an integrated medical center or via a virtual platform nationwide. Discover a career path with Optum where we’re Caring. Connecting. Growing together.",Healthtech/EHR/practice software,"Strong hospitality fit: healthtech/ehr/practice software exhibitor likely to have onsite team, prospect, recruiting, or partner meals.",High,"Software vendors run demos and buyer meetings and often need quick, reliable places for prospects and booth teams.","Pitch Tabmac as an event-week dining desk for demo teams, prospect dinners, and last-minute group reservations."
OU Health - The University of Oklahoma,331,,Government/public-sector recruiting,Limited hospitality fit: government/public-sector recruiting exhibitor is less likely to buy restaurant or event support.,Low,"Public-sector booths may have purchasing constraints, but onsite staff still need practical meal guidance.",Use a low-pressure nearby dining guide for staff and candidate conversations rather than a premium event pitch.
"OWP Pharmaceuticals, Inc.","1236, 1338","OWP Pharmaceuticals’ focus is to support providers and patients in the US with branded neuroscience medications. We then use profits to improve the education, diagnosis, and treatment available for those living with neurological and psychiatric disorders in under-resourced areas of the world by donating to the ROW Foundation. Websites: owppharma.com and rowpharma.org",Pharma/biotech,"Strong hospitality fit: pharma/biotech exhibitor likely to have onsite team, prospect, recruiting, or partner meals.",High,"Commercial or medical-affairs exhibitors often bring field teams and meet clinicians, KOLs, or partners during the meeting.","Position Tabmac as a compliant restaurant concierge for HCP/KOL dinners, medical-affairs team meals, and private dining near Moscone."
Oxford University Press,1048,"Oxford University Press (OUP) is the world's leading university press with the widest global presence. Our academic publishing program serves scholars, teachers and researchers, publishing important and rigorous research and scholarship across subject areas stretching from History to Life Sciences to Economics.",Education/CME/publishing,Moderate hospitality fit: education/cme/publishing exhibitor may need casual team meals or small-group restaurant help.,Medium,"Education and publishing exhibitors may need author, faculty, editor, or small customer meals.","Offer casual group meal planning for authors, faculty, editorial teams, and customer meetups."
Pause & Presence Coaching & Retreats,1163,"Pause & Presence is a physician-led wellness company founded by Jessie Mahoney, MD, a pediatrician, mindfulness teacher, and certified physician coach. Her mission is to help healers heal themselves—and, in doing so, transform the culture of medicine. At a time when more than half of physicians report burnout, Pause & Presence offers an evidence-based and experiential approach to sustainable well-being. We create restorative spaces through retreats, workshops, and virtual coaching where physicians and healthcare teams can reconnect, realign, and rediscover meaning in their work and lives. Our programs are grounded in mindfulness, lifestyle medicine, and coaching science. Participants don’t just learn about well-being—they experience it. Designed by a physician, for physicians, every offering blends scientific rigor with reflection and practical tools to bring calm, clarity, and compassion to everyday practice. Whether retreats, group coaching programs for leaders or those pivoting, or institutional wellness workshops and programs—Pause and Presence experiences translate the science of burnout prevention into lived, embodied learning. All are accredited for CME credit through AKH, Inc. CME-accredited Women's Physician Wellness Retreats at Nicasio Creek Farm in West Marin integrate mindfulness, coaching, yoga, and culinary medicine in a natural setting. Leadership workshops and keynotes such as “Leading with Heart,” “The School of Unlearning,” and “Rewriting the Rules of Wellness and Influence in Medicine” help organizations build cultures of well-being and retention. Small group coaching programs such as “Deeper Connections,” “Mindful Love,” and “Transition Well” offer virtual circles for women physicians to apply mindfulness and mindset tools to real-life and medicine. Pause & Presence programs are based on research that shows professional coaching and mindfulness training can reduce emotional exhaustion and imposter syndrome, improve self-compassion and resilience, and increase satisfaction and engagement. Beyond the data, the impact is deeply personal—physicians rediscover presence, purpose, and peace. Jessie Mahoney, MD, practiced pediatrics and served as Chief of Physician Wellness at The Permanente Medical Group before founding Pause & Presence. A graduate of Dartmouth and UCSF, she now speaks nationally on healing the hidden curriculum of medicine, unlearning self-sacrifice, and creating careers. Her work has been featured by the American College of Cardiology, the American College of Lifestyle Medicine, and KevinMD. She also hosts the podcast ""Healing Medicine: Mindfulness, Mindset & Physician Well-being."" Visit Pause & Presence for a moment of calm amidst the conference bustle. Learn how mindfulness, coaching, and heart-centered leadership can help heal medicine from the inside out—one physician at a time.",Wellness/coaching,Limited hospitality fit: wellness/coaching exhibitor is less likely to buy restaurant or event support.,Low,"Wellness and coaching exhibitors may host informal client or community meals, usually at smaller scale.",Suggest relaxed nearby restaurants for small client gatherings and team meals.
PeaceHealth,541,"PeaceHealth, based in Vancouver, Washington, is a not-for-profit Catholic health system serving communities across Washington, Oregon, and Alaska. With nearly 17,000 caregivers, a medical group of more than 1,300 physician & clinicians, and nine medical centers, PeaceHealth delivers compassionate care to both urban and rural communities throughout the Pacific Northwest. Guided by a dyad leadership model, each medical group pairs an administrative leader with a clinical leader - ensuring collaboration, shared accountability, and alignment toward common goals. As physicians and advanced practice clinicians at PeaceHealth, we are dedicated to advancing our Mission and making this the best place to receive care - and the best place to work. We recognize that work-life balance looks different for everyone, and we deeply value the unique contributions of our caregivers. Competitive compensation and benefits are designed to meet the diverse needs of caregivers and their families. We take pride in our commitment to Diversity & Inclusion and in fostering a Mission-driven culture that reflects our values. To learn more, visit PeaceHealth’s career site.",Association/nonprofit,Moderate hospitality fit: association/nonprofit exhibitor may need casual team meals or small-group restaurant help.,Medium,"Associations may host member, board, volunteer, or small partner gatherings but budgets are often tighter.","Share budget-conscious restaurant options for member meetups, staff meals, or small board dinners."
Physicians for a National Health Program,1448,"Physicians for a National Health Program is a single-issue organization advocating a universal, comprehensive, single-payer national health program. PNHP has more than 25,000 members, and chapters across the United States. We educate physicians and other health professionals about the benefits of a single-payer system–including fewer administrative costs and affording health insurance for the 30 million Americans who have none.",Association/nonprofit,Limited hospitality fit: association/nonprofit exhibitor is less likely to buy restaurant or event support.,Low,"Associations may host member, board, volunteer, or small partner gatherings but budgets are often tighter.","Share budget-conscious restaurant options for member meetups, staff meals, or small board dinners."
Postpartum Support International,1932,"We provide direct peer support to families, train professionals, and provide a bridge to connect them. Services for providers include: trainings, certification (PMH-C), member benefits, perinatal psychiatric consult line, perinatal mental health provider directory, and more. Free resources for families include: helpline, support coordinators, online support groups, peer mentor program, and education/awareness tools.",Association/nonprofit,Moderate hospitality fit: association/nonprofit exhibitor may need casual team meals or small-group restaurant help.,Medium,"Associations may host member, board, volunteer, or small partner gatherings but budgets are often tighter.","Share budget-conscious restaurant options for member meetups, staff meals, or small board dinners."
PracticeLink,542,"Becoming a physician is hard. Finding a job doesn’t have to be. Prepare for, start and complete your job search with PracticeLink, the career advancement resource with jobs in over 8,000 facilities.",Healthcare staffing/recruiting,"Strong hospitality fit: healthcare staffing/recruiting exhibitor likely to have onsite team, prospect, recruiting, or partner meals.",High,Recruiting firms use APA for candidate and client conversations.,"Offer private dining and near-Moscone options for recruiter-candidate dinners, client meals, and consultant team gatherings."
PracticeQ,1632,"PracticeQ is the premier healthcare EHR platform specializing in practice management. We provide secure patient records, integrated practice management, and advanced analytics, ensuring compliance and enhancing patient care. Our dozens of user-friendly tools and integrations support efficient clinical documentation and interoperability, streamlining operations for healthcare providers of all sizes.",Healthtech/EHR/practice software,Moderate hospitality fit: healthtech/ehr/practice software exhibitor may need casual team meals or small-group restaurant help.,Medium,"Software vendors run demos and buyer meetings and often need quick, reliable places for prospects and booth teams.","Pitch Tabmac as an event-week dining desk for demo teams, prospect dinners, and last-minute group reservations."
Premise Health,333,"Premise Health is the leading direct healthcare provider and one of the largest digital providers in the country, serving millions of members in the U.S. Premise’s integrated model of in-person and virtual care provides convenient, often same-day access to diverse member populations. It operates more than 800 onsite and nearsite wellness centers in 45 states and Guam. Premise offers more than 30 types of care, delivering the breadth and depth of care required to serve its partners’ total populations. The result is high-quality healthcare that meets the needs of members and their families, helping them live healthier.",Wellness/coaching,"Strong hospitality fit: wellness/coaching exhibitor likely to have onsite team, prospect, recruiting, or partner meals.",High,"Wellness and coaching exhibitors may host informal client or community meals, usually at smaller scale.",Suggest relaxed nearby restaurants for small client gatherings and team meals.
Prime Medical Evaluators,559,"Prime Medical Evaluators (PME) is a medical-legal services organization that specializes in delivering objective, evidence-based medical evaluations used in legal, insurance, and employment-related decisions. Operating primarily within the workers’ compensation and disability space, PME serves as a critical bridge between healthcare providers and stakeholders such as attorneys, insurance carriers, employers, and injured individuals. At its core, PME provides independent medical assessments designed to clarify complex medical issues in disputed or high-stakes cases. These include Qualified Medical Evaluations (QMEs), Independent Medical Examinations (IMEs), and Agreed Medical Evaluations (AMEs), all of which are essential in determining causation, impairment, disability status, and appropriate treatment. These evaluations play a central role in resolving disputes, guiding benefit determinations, and supporting fair legal outcomes. Beyond standard evaluations, PME offers a comprehensive suite of services that address a wide range of needs across the medical-legal spectrum. Functional Capacity Evaluations (FCEs) assess an individual’s physical abilities and limitations in relation to job requirements, while pre-employment and fitness-for-duty screenings help employers make informed hiring and return-to-work decisions. The organization also conducts peer reviews and medical record reviews to evaluate the quality, necessity, and appropriateness of prior medical care, often serving as expert support in litigation. A specialized area of focus for PME is Subsequent Injury Benefit Trust Fund (SIBTF) evaluations, which determine eligibility for additional benefits when a worker with a pre-existing condition sustains a new injury. These cases require a high level of medical and legal expertise, and PME has developed strong capabilities in delivering accurate and defensible assessments in this domain. PME operates through a large, multidisciplinary network of credentialed physicians and medical experts across various specialties. Each evaluator undergoes a rigorous vetting process and receives ongoing training to ensure consistency, compliance, and high-quality reporting. The organization emphasizes continuing education, particularly in medical-legal documentation and regulatory standards, to maintain the integrity and defensibility of its reports. In addition to clinical services, PME functions as a management and operational platform for physicians. It handles scheduling, case coordination, report processing, compliance, and administrative workflows, allowing doctors to focus on delivering high-quality evaluations. This infrastructure also enables efficient turnaround times and streamlined communication between all parties involved. A defining characteristic of PME is its commitment to ethical standards, impartiality, and professionalism. Every evaluation is conducted with the goal of producing clear, unbiased medical opinions that can withstand scrutiny in legal and regulatory settings. By combining clinical expertise with operational efficiency and legal awareness, PME delivers reliable, timely, and credible medical insights. Overall, Prime Medical Evaluators provides a comprehensive, end-to-end solution for medical-legal evaluation services, supporting informed decision-making and helping ensure fair and accurate outcomes across the healthcare and legal systems.",Practice services/marketing,Moderate hospitality fit: practice services/marketing exhibitor may need casual team meals or small-group restaurant help.,Medium,Practice-service vendors sell to clinicians and may use dinners for prospect follow-up and partner meetings.,Offer simple private-dining and restaurant shortlist support for prospect meals and vendor team dinners.
Province of New Brunswick,434,"New Brunswick, Canada, is the place where your healthcare career can flourish while you enjoy a lifestyle that’s laidback but never short on adventures. Our culturally diverse province has communities ranked among the best places to live in the world. Being next door to nature and vibrant cultures are just some of the reasons healthcare professionals choose to call New Brunswick home.",Government/public-sector recruiting,Limited hospitality fit: government/public-sector recruiting exhibitor is less likely to buy restaurant or event support.,Low,"Public-sector booths may have purchasing constraints, but onsite staff still need practical meal guidance.",Use a low-pressure nearby dining guide for staff and candidate conversations rather than a premium event pitch.
Psychiatry Redefined,1239,"Psychiatry Redefined Functional Medicine Training for Personalized Mental Healthcare Psychiatry Redefined is the leading clinical training platform for mental health professionals who want to bridge traditional psychiatry with the emerging science of functional, nutritional, and metabolic medicine. Founded by integrative psychiatrist and author Dr. James Greenblatt, our programs equip clinicians with practical, evidence-based tools to uncover and treat the biological, nutritional, and environmental drivers of psychiatric symptoms—while still working seamlessly within a conventional practice model. We offer a comprehensive ecosystem of online courses, intensives, and a yearlong Fellowship in Functional and Integrative Psychiatry. Our curriculum is designed for real-world clinical use, helping professionals expand their diagnostic lens, personalize treatment plans, and improve outcomes for patients with depression, anxiety, ADHD, OCD, eating disorders, trauma-related conditions, and complex cases that don’t respond to medication alone. Our expert faculty—including MDs, psychiatrists, psychologists, nutritionists, and researchers—teach a model that doesn’t replace traditional psychiatry, but strengthens it. We help clinicians integrate functional psychiatry safely, ethically, and effectively, so they can deliver the kind of whole-person care their patients are demanding. At Psychiatry Redefined, we believe the future of mental health is blended, personalized, and biologically informed. Join thousands of clinicians redefining what’s possible in patient care. Learn more: psychiatryredefined.org",Education/CME/publishing,Moderate hospitality fit: education/cme/publishing exhibitor may need casual team meals or small-group restaurant help.,Medium,"Education and publishing exhibitors may need author, faculty, editor, or small customer meals.","Offer casual group meal planning for authors, faculty, editorial teams, and customer meetups."
"PsychNow, Inc.",1450,"A New Model of Care: Hybrid AI solutions for intake evaluation, ongoing care, and multi-provider collaboration that let patients tell their story, and help psychiatrists and therapists deliver empathic and timely care.",Healthtech/EHR/practice software,Moderate hospitality fit: healthtech/ehr/practice software exhibitor may need casual team meals or small-group restaurant help.,Medium,"Software vendors run demos and buyer meetings and often need quick, reliable places for prospects and booth teams.","Pitch Tabmac as an event-week dining desk for demo teams, prospect dinners, and last-minute group reservations."
Psychology Times UK Ltd.,KIOSK 2,"Psychology Times is a UK-based international psychology publishing and editorial organization operating under Psychology Times UK Ltd (Company No: 16280511). The institution produces high-quality, evidence-informed, and ethically grounded psychological content while fostering international academic dialogue and professional collaboration within the global mental health community. The organization operates digital and print publishing platforms and maintains an international editorial network. Psychology Times does not provide clinical services, diagnosis, treatment, or therapeutic interventions. Its activities are limited to publishing, academic engagement, and professional education.",Healthtech/EHR/practice software,Limited hospitality fit: kiosk presence suggests smaller onsite footprint; keep outreach lightweight.,Low,"Software vendors run demos and buyer meetings and often need quick, reliable places for prospects and booth teams.","Pitch Tabmac as an event-week dining desk for demo teams, prospect dinners, and last-minute group reservations."
PsychPlus,657,"PsychPlus is a modernized behavioral health ecosystem owning the vertical in the way mental health care is delivered today. With a focus on modern technology coupled with compassionate professionals, we provide a comprehensive range of virtual and in-person psychiatry and therapy services. At PsychPlus, we pride ourselves in being able to provide access to quality mental health care in as little as 24 hours.",Pharma/biotech,"Strong hospitality fit: pharma/biotech exhibitor likely to have onsite team, prospect, recruiting, or partner meals.",High,"Commercial or medical-affairs exhibitors often bring field teams and meet clinicians, KOLs, or partners during the meeting.","Position Tabmac as a compliant restaurant concierge for HCP/KOL dinners, medical-affairs team meals, and private dining near Moscone."
Psynk Inc,2031,"Psynk.ai is an AI-powered clinical intelligence platform built specifically for mental health care. We help psychiatrists, therapists, and care teams deliver safer, more efficient, and more scalable care by reducing documentation burden, supporting real-time clinical decision-making, and extending patient support beyond the clinic. Our platform augments—not replaces—clinicians by automating administrative workflows, synthesizing patient data across encounters, and enabling continuous, AI-assisted monitoring between visits. Designed with clinical rigor and privacy at its core, Psynk.ai is HIPAA-compliant and built to integrate into real-world psychiatric workflows. Founded by leaders in healthcare operations and frontier AI, Psynk.ai is focused on addressing the growing mental health workforce shortage while improving access, quality, and outcomes for patients.",Healthtech/EHR/practice software,Moderate hospitality fit: healthtech/ehr/practice software exhibitor may need casual team meals or small-group restaurant help.,Medium,"Software vendors run demos and buyer meetings and often need quick, reliable places for prospects and booth teams.","Pitch Tabmac as an event-week dining desk for demo teams, prospect dinners, and last-minute group reservations."
Recornect,2048,"With Recornect CoWin, we provide an innovative and secure empowerment solution tailored to support self-determination in mental healthcare and correctional facilities. Through a robust, interactive touchscreen, users gain the autonomy to manage mental health challenges in their own way, accessing communication, comfort, and educational apps via a user-friendly interface. The staff, through a manager device, has oversight and control over CoWin; they can personalize the environment, manage app access, and communicate safely and responsibly with service users. At Recornect, we are driven by the purpose of empowering individuals through self-determination and personal growth. Guided by a commitment to creating safe, humane, and innovative solutions, we strive to make a meaningful impact in mental healthcare and correctional facilities worldwide.",Government/public-sector recruiting,Limited hospitality fit: government/public-sector recruiting exhibitor is less likely to buy restaurant or event support.,Low,"Public-sector booths may have purchasing constraints, but onsite staff still need practical meal guidance.",Use a low-pressure nearby dining guide for staff and candidate conversations rather than a premium event pitch.
